question,synonym_phrases
Tell me about yourself,"Introduce yourself, Give your self introduction, Can you tell me about yourself, Briefly describe yourself, Say something about yourself, Tell something about your background"
Tell me about yourself,"Introduce yourself, Give your self introduction, Can you tell me about yourself, Briefly describe yourself, Say something about yourself, Tell something about your background"
Tell me about yourself,"Introduce yourself, Give your self introduction, Can you tell me about yourself, Briefly describe yourself, Say something about yourself, Tell something about your background"
Tell me about yourself,"Introduce yourself, Give your self introduction, Can you tell me about yourself, Briefly describe yourself, Say something about yourself, Tell something about your background"
Tell me about yourself,"Introduce yourself, Give your self introduction, Can you tell me about yourself, Briefly describe yourself, Say something about yourself, Tell something about your background"
Tell me about yourself,"Introduce yourself, Give your self introduction, Can you tell me about yourself, Briefly describe yourself, Say something about yourself, Tell something about your background"
Tell me about yourself,"Introduce yourself, Give your self introduction, Can you tell me about yourself, Briefly describe yourself, Say something about yourself, Tell something about your background"
Tell me about yourself,"Introduce yourself, Give your self introduction, Can you tell me about yourself, Briefly describe yourself, Say something about yourself, Tell something about your background"
Tell me about yourself,"Introduce yourself, Give your self introduction, Can you tell me about yourself, Briefly describe yourself, Say something about yourself, Tell something about your background"
Tell me about yourself,"Introduce yourself, Give your self introduction, Can you tell me about yourself, Briefly describe yourself, Say something about yourself, Tell something about your background"
What are your strengths,"Tell me your strengths, What are you good at, What qualities do you have, Your positive points, Your strong skills, What makes you a strong candidate"
What are your strengths,"Tell me your strengths, What are you good at, What qualities do you have, Your positive points, Your strong skills, What makes you a strong candidate"
What are your strengths,"Tell me your strengths, What are you good at, What qualities do you have, Your positive points, Your strong skills, What makes you a strong candidate"
What are your strengths,"Tell me your strengths, What are you good at, What qualities do you have, Your positive points, Your strong skills, What makes you a strong candidate"
What are your strengths,"Tell me your strengths, What are you good at, What qualities do you have, Your positive points, Your strong skills, What makes you a strong candidate"
What are your strengths,"Tell me your strengths, What are you good at, What qualities do you have, Your positive points, Your strong skills, What makes you a strong candidate"
What are your strengths,"Tell me your strengths, What are you good at, What qualities do you have, Your positive points, Your strong skills, What makes you a strong candidate"
What are your strengths,"Tell me your strengths, What are you good at, What qualities do you have, Your positive points, Your strong skills, What makes you a strong candidate"
What are your strengths,"Tell me your strengths, What are you good at, What qualities do you have, Your positive points, Your strong skills, What makes you a strong candidate"
What are your strengths,"Tell me your strengths, What are you good at, What qualities do you have, Your positive points, Your strong skills, What makes you a strong candidate"
What are your weaknesses,"Tell me your weaknesses, What are your weak points, Which skills are you improving, What do you want to improve in yourself, Your area of improvement, One weakness you have"
What are your weaknesses,"Tell me your weaknesses, What are your weak points, Which skills are you improving, What do you want to improve in yourself, Your area of improvement, One weakness you have"
What are your weaknesses,"Tell me your weaknesses, What are your weak points, Which skills are you improving, What do you want to improve in yourself, Your area of improvement, One weakness you have"
What are your weaknesses,"Tell me your weaknesses, What are your weak points, Which skills are you improving, What do you want to improve in yourself, Your area of improvement, One weakness you have"
What are your weaknesses,"Tell me your weaknesses, What are your weak points, Which skills are you improving, What do you want to improve in yourself, Your area of improvement, One weakness you have"
What are your weaknesses,"Tell me your weaknesses, What are your weak points, Which skills are you improving, What do you want to improve in yourself, Your area of improvement, One weakness you have"
What are your weaknesses,"Tell me your weaknesses, What are your weak points, Which skills are you improving, What do you want to improve in yourself, Your area of improvement, One weakness you have"
What are your weaknesses,"Tell me your weaknesses, What are your weak points, Which skills are you improving, What do you want to improve in yourself, Your area of improvement, One weakness you have"
What are your weaknesses,"Tell me your weaknesses, What are your weak points, Which skills are you improving, What do you want to improve in yourself, Your area of improvement, One weakness you have"
What are your weaknesses,"Tell me your weaknesses, What are your weak points, Which skills are you improving, What do you want to improve in yourself, Your area of improvement, One weakness you have"
Why should we hire you,"Why do you think we should hire you, What makes you a good fit for this job, Why are you suitable for this role, Why do you want this job, What value can you bring to our company, Why should we select you"
Why should we hire you,"Why do you think we should hire you, What makes you a good fit for this job, Why are you suitable for this role, Why do you want this job, What value can you bring to our company, Why should we select you"
Why should we hire you,"Why do you think we should hire you, What makes you a good fit for this job, Why are you suitable for this role, Why do you want this job, What value can you bring to our company, Why should we select you"
