question,expected_answer,example_answer
Tell me about yourself.,"Start with your name, education, skills, and career interests.",My name is Sakshi. I am currently pursuing my degree in Computer Science. I enjoy learning new things and I have good communication and teamwork skills.
What are your strengths?,Mention 2-3 skills relevant to work and support with small examples.,"My strengths are that I learn quickly, communicate clearly, and stay disciplined in my work."
What are your weaknesses?,Share a small weakness and show how you are improving it.,"Sometimes I get nervous while speaking in front of many people, but I am improving this by practicing speaking in group discussions."
Why should we hire you?,Show that your skills match the job role and you are willing to learn.,"You should hire me because I am hardworking, disciplined, and eager to learn. I will give my best to the responsibilities given to me."
Where do you see yourself in 5 years?,Show career growth and steady improvement.,"In 5 years, I want to grow my skills and take more responsibilities in my job. I want to become more confident and experienced in my field."
What motivates you to work?,"Talk about learning, growth, or completing goals.",Learning new skills and finishing tasks on time motivates me. I feel good when I improve myself every day.
Tell me about a challenge you faced and how you solved it.,Use situation → task → action → result format.,"During a group project, we had less time. I helped the team by dividing work clearly, and we finished before the deadline."
How do you handle stress?,Explain calm planning and organized work.,I handle stress by staying calm and planning my tasks step-by-step. I also take short breaks to stay focused.
Do you prefer working alone or in a team?,Say you can work in both environments.,"I can work both ways, but I enjoy working in a team because we can share ideas and learn from each other."
How do you prioritize your tasks?,Explain how you manage time and deadlines.,"I list my tasks, check which is more important, and complete them one by one by following deadlines."
Tell me about yourself.,"Start with your name, education, skills, and career interests.",My name is Sakshi. I am currently pursuing my degree in Computer Science. I enjoy learning new things and I have good communication and teamwork skills.
What are your strengths?,Mention 2-3 skills relevant to work and support with small examples.,"My strengths are that I learn quickly, communicate clearly, and stay disciplined in my work."
What are your weaknesses?,Share a small weakness and show how you are improving it.,"Sometimes I get nervous while speaking in front of many people, but I am improving this by practicing speaking in group discussions."
Why should we hire you?,Show that your skills match the job role and you are willing to learn.,"You should hire me because I am hardworking, disciplined, and eager to learn. I will give my best to the responsibilities given to me."
Where do you see yourself in 5 years?,Show career growth and steady improvement.,"In 5 years, I want to grow my skills and take more responsibilities in my job. I want to become more confident and experienced in my field."
What motivates you to work?,"Talk about learning, growth, or completing goals.",Learning new skills and finishing tasks on time motivates me. I feel good when I improve myself every day.
Tell me about a challenge you faced and how you solved it.,Use situation → task → action → result format.,"During a group project, we had less time. I helped the team by dividing work clearly, and we finished before the deadline."
How do you handle stress?,Explain calm planning and organized work.,I handle stress by staying calm and planning my tasks step-by-step. I also take short breaks to stay focused.
Do you prefer working alone or in a team?,Say you can work in both environments.,"I can work both ways, but I enjoy working in a team because we can share ideas and learn from each other."
How do you prioritize your tasks?,Explain how you manage time and deadlines.,"I list my tasks, check which is more important, and complete them one by one by following deadlines."
Tell me about yourself.,"Start with your name, education, skills, and career interests.",My name is Sakshi. I am currently pursuing my degree in Computer Science. I enjoy learning new things and I have good communication and teamwork skills.
What are your strengths?,Mention 2-3 skills relevant to work and support with small examples.,"My strengths are that I learn quickly, communicate clearly, and stay disciplined in my work."
What are your weaknesses?,Share a small weakness and show how you are improving it.,"Sometimes I get nervous while speaking in front of many people, but I am improving this by practicing speaking in group discussions."
Why should we hire you?,Show that your skills match the job role and you are willing to learn.,"You should hire me because I am hardworking, disciplined, and eager to learn. I will give my best to the responsibilities given to me."
Where do you see yourself in 5 years?,Show career growth and steady improvement.,"In 5 years, I want to grow my skills and take more responsibilities in my job. I want to become more confident and experienced in my field."
What motivates you to work?,"Talk about learning, growth, or completing goals.",Learning new skills and finishing tasks on time motivates me. I feel good when I improve myself every day.
Tell me about a challenge you faced and how you solved it.,Use situation → task → action → result format.,"During a group project, we had less time. I helped the team by dividing work clearly, and we finished before the deadline."
How do you handle stress?,Explain calm planning and organized work.,I handle stress by staying calm and planning my tasks step-by-step. I also take short breaks to stay focused.
Do you prefer working alone or in a team?,Say you can work in both environments.,"I can work both ways, but I enjoy working in a team because we can share ideas and learn from each other."
How do you prioritize your tasks?,Explain how you manage time and deadlines.,"I list my tasks, check which is more important, and complete them one by one by following deadlines."
Tell me about yourself.,"Start with your name, education, skills, and career interests.",My name is Sakshi. I am currently pursuing my degree in Computer Science. I enjoy learning new things and I have good communication and teamwork skills.
What are your strengths?,Mention 2-3 skills relevant to work and support with small examples.,"My strengths are that I learn quickly, communicate clearly, and stay disciplined in my work."
What are your weaknesses?,Share a small weakness and show how you are improving it.,"Sometimes I get nervous while speaking in front of many people, but I am improving this by practicing speaking in group discussions."
Why should we hire you?,Show that your skills match the job role and you are willing to learn.,"You should hire me because I am hardworking, disciplined, and eager to learn. I will give my best to the responsibilities given to me."
Where do you see yourself in 5 years?,Show career growth and steady improvement.,"In 5 years, I want to grow my skills and take more responsibilities in my job. I want to become more confident and experienced in my field."
What motivates you to work?,"Talk about learning, growth, or completing goals.",Learning new skills and finishing tasks on time motivates me. I feel good when I improve myself every day.
Tell me about a challenge you faced and how you solved it.,Use situation → task → action → result format.,"During a group project, we had less time. I helped the team by dividing work clearly, and we finished before the deadline."
How do you handle stress?,Explain calm planning and organized work.,I handle stress by staying calm and planning my tasks step-by-step. I also take short breaks to stay focused.
Do you prefer working alone or in a team?,Say you can work in both environments.,"I can work both ways, but I enjoy working in a team because we can share ideas and learn from each other."
How do you prioritize your tasks?,Explain how you manage time and deadlines.,"I list my tasks, check which is more important, and complete them one by one by following deadlines."
Tell me about yourself.,"Start with your name, education, skills, and career interests.",My name is Sakshi. I am currently pursuing my degree in Computer Science. I enjoy learning new things and I have good communication and teamwork skills.
What are your strengths?,Mention 2-3 skills relevant to work and support with small examples.,"My strengths are that I learn quickly, communicate clearly, and stay disciplined in my work."
What are your weaknesses?,Share a small weakness and show how you are improving it.,"Sometimes I get nervous while speaking in front of many people, but I am improving this by practicing speaking in group discussions."
Why should we hire you?,Show that your skills match the job role and you are willing to learn.,"You should hire me because I am hardworking, disciplined, and eager to learn. I will give my best to the responsibilities given to me."
Where do you see yourself in 5 years?,Show career growth and steady improvement.,"In 5 years, I want to grow my skills and take more responsibilities in my job. I want to become more confident and experienced in my field."
What motivates you to work?,"Talk about learning, growth, or completing goals.",Learning new skills and finishing tasks on time motivates me. I feel good when I improve myself every day.
Tell me about a challenge you faced and how you solved it.,Use situation → task → action → result format.,"During a group project, we had less time. I helped the team by dividing work clearly, and we finished before the deadline."
How do you handle stress?,Explain calm planning and organized work.,I handle stress by staying calm and planning my tasks step-by-step. I also take short breaks to stay focused.
